Date,Close
2018/5/14,344.589996
2018/5/15,342.119995
2018/5/16,340.970001
2018/5/17,344.140015
2018/5/18,351.230011
2018/5/21,363.920013
2018/5/22,355.019989
2018/5/23,359.209991
2018/5/24,359
2018/5/25,360.089996
2018/5/29,352.480011
2018/5/30,358.190002
2018/5/31,352.160004
2018/6/1,356.720001
2018/6/4,360.730011
2018/6/5,360.100006
2018/6/6,371.559998
2018/6/7,368.529999
2018/6/8,369.5
2018/6/11,370.940002
2018/6/12,370.619995
2018/6/13,363.850006
2018/6/14,362.420013
2018/6/15,357.880005
2018/6/18,354.73999
2018/6/19,341.119995
2018/6/20,342.690002
2018/6/21,337.660004
2018/6/22,338.910004
2018/6/25,331.200012
2018/6/26,331.299988
2018/6/27,329.820007
2018/6/28,334.649994
2018/6/29,335.51001
2018/7/2,336.079987
2018/7/3,332.929993
2018/7/5,333.179993
2018/7/6,334.640015
2018/7/9,341.920013
2018/7/10,347.160004
2018/7/11,340.600006
2018/7/12,346.029999
2018/7/13,350.790009
2018/7/16,356.100006
2018/7/17,356.880005
2018/7/18,360.230011
2018/7/19,355.329987
2018/7/20,354.899994
2018/7/23,353.269989
2018/7/24,358.269989
2018/7/25,355.920013
2018/7/26,359.320007
2018/7/27,360.649994
2018/7/30,351.059998
2018/7/31,356.299988
2018/8/1,352.76001
2018/8/2,349.730011
2018/8/3,348.440002
2018/8/6,346.570007
2018/8/7,350.76001
2018/8/8,347.779999
2018/8/9,343.720001
2018/8/10,339.410004
2018/8/13,338.359985
2018/8/14,339.140015
2018/8/15,331.76001
2018/8/16,345.980011
2018/8/17,346.399994
2018/8/20,350.73999
2018/8/21,353.769989
2018/8/22,350.029999
2018/8/23,347.480011
2018/8/24,349.380005
2018/8/27,353.73999
2018/8/28,351.209991
2018/8/29,350.190002
2018/8/30,346.899994
2018/8/31,342.790009
2018/9/4,346.25
2018/9/5,346.679993
2018/9/6,351.269989
2018/9/7,349.279999
2018/9/10,341.859985
2018/9/11,345.25
2018/9/12,353.410004
2018/9/13,355.459991
2018/9/14,359.799988
2018/9/17,355.959991
2018/9/18,363.579987
2018/9/19,365.220001
2018/9/20,367.459991
2018/9/21,372.230011
2018/9/24,367.98999
2018/9/25,367.230011
2018/9/26,365.029999
2018/9/27,367.390015
2018/9/28,371.899994
2018/10/1,382.290009
2018/10/2,386.369995
2018/10/3,392.299988
2018/10/4,389.98999
2018/10/5,386.470001
2018/10/8,385.769989
2018/10/9,385.440002
2018/10/10,367.470001
2018/10/11,358.109985
2018/10/12,360.109985
2018/10/15,358.880005
2018/10/16,368.25
2018/10/17,365.5
2018/10/18,359.350006
2018/10/19,356.26001
2018/10/22,355.980011
2018/10/23,350.049988
2018/10/24,354.649994
2018/10/25,363.769989
2018/10/26,359.269989
2018/10/29,335.589996
2018/10/30,349.910004
2018/10/31,354.859985
2018/11/1,363.070007
2018/11/2,357.75
2018/11/5,361.980011
2018/11/6,366.470001
2018/11/7,372.019989
2018/11/8,370.769989
2018/11/9,369.339996
2018/11/12,357.029999
2018/11/13,349.51001
2018/11/14,344.720001
2018/11/15,341.570007
2018/11/16,335.950012
2018/11/19,320.940002
2018/11/20,317.700012
2018/11/21,317.320007
2018/11/23,312.320007
2018/11/26,316.359985
2018/11/27,318.029999
2018/11/28,333.5
2018/11/29,342.559998
2018/11/30,346.76001
